,"0_CDRJ","L019","L318","L502","L135",1000,"L096","L100","L503","L594","L012","L662","L570","L685",1033,"L767","L463","L022","L359","L977",5022,"L057","L886",1021,"L774",1082,"L523","L449","L529","L759","L839",5420,1108,1240,5412,"L650",5009,5208,9112,9314,9141,"L095","L032",1073,1266,1451,"L175","L164","L508","L010","L230","L653","L020","L281",1012,"L858",1444,"L227",1062,"L025","L606","L602",5223,"L157","L663","L121","L713","L077",5270,"L709",9982,9119,9146,9968,9099,9501,9283,9326,9188,9970,9035,"L003","L067","L131","L069","L540","L583","L526",5275,"L509",1175,"L090","L777","L560","L900","L005","L536",9139,9246
"0_CDRJ",0,3.15388888888889,1.63916666666667,0.455833333333333,1.02888888888889,0.696944444444444,0.934722222222222,0.450277777777778,0.888611111111111,0.991388888888889,1.13444444444444,0.388333333333333,1.28555555555556,0.961944444444444,2.2575,0.801388888888889,1.32083333333333,0.555277777777778,1.08138888888889,1.21861111111111,0.915833333333333,1.50944444444444,0.840277777777778,0.931944444444444,0.683888888888889,0.846666666666667,0.940277777777778,0.983055555555556,0.909166666666667,0.828333333333333,0.904166666666667,1.04361111111111,1.07222222222222,1.07777777777778,0.5775,1.22861111111111,0.823055555555555,0.944166666666667,0.9475,0.852222222222222,0.9025,0.683888888888889,0.846666666666667,0.953055555555556,0.937777777777778,0.845555555555555,1.09194444444444,0.521388888888889,1.005,0.591666666666667,0.8825,1.20277777777778,0.893888888888889,2.8025,0.94,0.871944444444444,0.286666666666667,0.874166666666667,0.763611111111111,0.5825,0.515833333333333,0.880833333333333,1.54194444444444,2.20638888888889,3.0575,3.11083333333333,0.442222222222222,1.18166666666667,0.868611111111111,0.943611111111111,0.974722222222222,1.11833333333333,0.892222222222222,1.20638888888889,0.915555555555556,0.890555555555555,0.911666666666667,0.895833333333333,0.964444444444444,1.01444444444444,1.73166666666667,1.56111111111111,1.54055555555556,0.829444444444444,3.17611111111111,2.95333333333333,1.33055555555556,1.65333333333333,0.928888888888889,1.23166666666667,0.890555555555555,3.07638888888889,0.615277777777778,1.08166666666667,0.940555555555556,0.9375,0.905,0.790833333333333,0.827777777777778
"L019",3.24027777777778,0,4.62666666666667,3.48222222222222,3.65111111111111,3.31916666666667,3.60777777777778,3.48416666666667,3.67472222222222,4.00777777777778,2.72,3.41472222222222,3.33166666666667,3.71888888888889,5.245,3.78888888888889,4.30833333333333,3.44916666666667,3.78083333333333,3.23444444444444,3.9325,4.49666666666667,3.8275,3.91916666666667,3.56,3.83388888888889,3.95694444444444,3.97027777777778,3.89666666666667,3.845,3.92083333333333,4.03111111111111,3.77166666666667,3.78527777777778,3.55972222222222,3.915,3.81027777777778,3.96055555555556,3.935,3.83944444444444,3.89,3.56,3.83388888888889,3.96972222222222,3.95444444444445,3.80805555555556,3.24916666666667,3.53333333333333,3.70555555555556,3.615,3.59166666666667,3.36,3.10083333333333,5.78972222222222,3.63055555555556,3.86722222222222,3.31305555555556,3.86166666666667,3.77722222222222,3.60722222222222,3.40444444444444,3.34333333333333,3.00666666666667,4.47861111111111,6.04472222222222,6.09805555555556,3.47055555555556,4.16916666666667,3.85611111111111,3.96027777777778,3.96222222222222,3.81777777777778,3.87972222222222,4.19388888888889,3.93222222222222,3.87805555555556,3.92833333333333,3.9125,2.98027777777778,4.00194444444445,1.46333333333333,4.31805555555556,2.93027777777778,3.81694444444444,6.16361111111111,5.94055555555556,4.31777777777778,4.64083333333333,3.67027777777778,2.80666666666667,3.87777777777778,6.06361111111111,3.62,4.06888888888889,3.95722222222222,3.62833333333333,3.8925,3.77222222222222,3.81527777777778
"L318",1.54333333333333,4.61805555555556,0,1.35194444444444,1.61888888888889,1.48027777777778,1.395,1.32194444444444,1.34888888888889,1.35361111111111,2.64666666666667,1.62333333333333,2.79777777777778,1.42222222222222,1.51166666666667,1.13444444444444,0.8325,1.50722222222222,1.44083333333333,2.18111111111111,1.27805555555556,0.763333333333333,1.17305555555556,1.26472222222222,1.3725,1.17944444444444,1.3025,1.31611111111111,1.24222222222222,1.19055555555556,1.26638888888889,0.897222222222222,1.5325,1.44,1.15861111111111,2.74083333333333,1.15638888888889,1.30638888888889,0.930833333333333,1.18527777777778,1.23555555555556,1.3725,1.17944444444444,1.31527777777778,1.30027777777778,1.30583333333333,1.87527777777778,1.59138888888889,1.46527777777778,1.27416666666667,1.34277777777778,1.98638888888889,1.6775,2.05666666666667,1.40027777777778,1.21638888888889,1.49222222222222,1.20722222222222,1.22444444444444,1.29027777777778,1.32666666666667,1.66416666666667,3.05416666666667,2.86138888888889,2.31138888888889,2.365,1.24305555555556,0.659722222222222,1.20166666666667,1.30583333333333,0.953888888888889,1.47777777777778,1.22527777777778,0.806111111111111,1.27805555555556,1.22361111111111,1.27388888888889,1.25833333333333,1.92694444444444,0.890833333333333,3.19583333333333,1.70277777777778,3.0525,1.1625,2.31083333333333,2.09805555555556,0.643055555555556,0.9075,1.59416666666667,2.74388888888889,1.22361111111111,2.33027777777778,1.27027777777778,0.742222222222222,1.30277777777778,1.39777777777778,1.23805555555556,1.25111111111111,1.16083333333333
"L502",0.438888888888889,3.56166666666667,1.48388888888889,0,0.866666666666667,0.534722222222222,0.790277777777778,0.244166666666667,0.744166666666666,0.825,1.54222222222222,0.520555555555555,1.69361111111111,0.8175,2.10222222222222,0.638611111111111,1.16555555555556,0.476111111111111,0.912222222222222,1.23555555555556,0.749444444444444,1.35388888888889,0.683611111111111,0.769166666666667,0.521666666666667,0.683888888888889,0.773888888888889,0.826388888888889,0.7525,0.661944444444444,0.737777777777778,0.888333333333333,0.927777777777778,0.911388888888889,0.415277777777778,1.63638888888889,0.668333333333333,0.777777777777778,0.792222222222222,0.692777777777778,0.745833333333333,0.521666666666667,0.683888888888889,0.786666666666667,0.771666666666667,0.701388888888889,0.929722222222222,0.512222222222222,0.860555555555555,0.252777777777778,0.738055555555556,1.04055555555556,0.731666666666667,2.64722222222222,0.795555555555556,0.7375,0.388055555555555,0.7175,0.597222222222222,0.420277777777778,0.344166666666667,0.718333333333333,1.94972222222222,2.04027777777778,2.90222222222222,2.95555555555556,0.28,1.02638888888889,0.705833333333333,0.777222222222222,0.819444444444444,0.949166666666667,0.735555555555556,1.05111111111111,0.749444444444444,0.733888888888889,0.745277777777778,0.729722222222222,0.981388888888889,0.859166666666667,2.13944444444444,1.395,1.94833333333333,0.67,3.02083333333333,2.79805555555556,1.17527777777778,1.49805555555556,0.557777777777778,1.63944444444444,0.733888888888889,2.92083333333333,0.425,0.926388888888889,0.774166666666667,0.793333333333333,0.748333333333333,0.646388888888889,0.668333333333333
"L135",1.09361111111111,3.64833333333333,1.71638888888889,0.916944444444444,0,0.561666666666667,0.455833333333333,0.784166666666667,0.484166666666667,0.670833333333333,2.19722222222222,1.06472222222222,2.34833333333333,0.528333333333333,2.33444444444444,0.878333333333333,1.39777777777778,0.748888888888889,0.468888888888889,0.726666666666667,0.7025,1.58638888888889,0.917222222222222,0.94,0.785555555555556,0.923611111111111,0.785833333333333,1.01888888888889,0.981111111111111,0.751111111111111,0.819722222222222,1.12055555555556,0.459722222222222,0.473333333333333,0.796388888888889,2.305,0.9,0.872777777777778,1.02472222222222,0.929166666666667,0.944722222222222,0.785555555555556,0.923611111111111,0.8625,0.738888888888889,0.6975,0.671388888888889,0.833055555555555,0.391666666666667,0.946388888888889,0.547777777777778,0.594444444444444,0.803611111111111,2.87944444444444,0.416666666666667,0.828611111111111,0.975277777777778,0.951111111111111,0.896666666666667,0.793888888888889,0.704444444444444,0.816944444444444,2.60444444444444,2.51083333333333,3.13444444444444,3.18777777777778,0.770555555555555,1.25861111111111,0.918333333333333,0.788888888888889,1.05166666666667,0.505833333333333,0.906944444444444,1.28333333333333,0.761111111111111,0.89,0.698333333333333,0.811388888888889,0.639444444444445,1.09138888888889,2.22611111111111,1.86555555555556,2.60305555555556,0.906388888888889,3.25305555555556,3.03027777777778,1.4075,1.73055555555556,1.24361111111111,2.29444444444444,0.930555555555556,3.15333333333333,0.919722222222222,1.15861111111111,0.785833333333333,0.358611111111111,0.976944444444444,0.680555555555556,0.904722222222222
1000,0.664166666666667,3.34138888888889,1.49694444444444,0.4875,0.415,0,0.371666666666667,0.354722222222222,0.438611111111111,0.746666666666667,1.76777777777778,0.635277777777778,1.91888888888889,0.482777777777778,2.11527777777778,0.659166666666667,1.17861111111111,0.319444444444444,0.544722222222222,0.904444444444444,0.802777777777778,1.36722222222222,0.698055555555556,0.763611111111111,0.325,0.704444444444444,0.8275,0.840833333333333,0.766944444444444,0.715277777777778,0.791111111111111,0.901388888888889,0.535555555555556,0.549166666666667,0.43,1.86166666666667,0.680555555555556,0.831111111111111,0.805277777777778,0.71,0.760277777777778,0.325,0.704444444444444,0.84,0.825,0.532777777777778,0.598888888888889,0.403611111111111,0.469444444444444,0.485555555555556,0.301666666666667,0.709722222222222,0.400833333333333,2.66027777777778,0.394444444444444,0.651944444444444,0.545833333333333,0.731944444444444,0.6475,0.4775,0.275,0.385277777777778,2.175,2.08138888888889,2.91527777777778,2.96861111111111,0.340833333333333,1.03944444444444,0.726388888888889,0.830555555555556,0.8325,0.581666666666667,0.75,1.06416666666667,0.802777777777778,0.748333333333333,0.798611111111111,0.783055555555556,0.650555555555556,0.872222222222222,1.91916666666667,1.43611111111111,2.17361111111111,0.687222222222222,3.03388888888889,2.81111111111111,1.18833333333333,1.51111111111111,0.814166666666667,1.865,0.748333333333333,2.93388888888889,0.490277777777778,0.939444444444444,0.8275,0.392222222222222,0.762777777777778,0.565,0.685555555555556
"L096",0.934444444444444,3.61222222222222,1.45666666666667,0.764722222222222,0.361666666666667,0.403055555555556,0,0.625555555555555,0.224722222222222,0.5325,2.03777777777778,0.906111111111111,2.18888888888889,0.268611111111111,2.075,0.618888888888889,1.13833333333333,0.590277777777778,0.330833333333333,1.05222222222222,0.564166666666667,1.32666666666667,0.6575,0.680555555555556,0.526111111111111,0.663888888888889,0.6475,0.800277777777778,0.726666666666667,0.648888888888889,0.681388888888889,0.861111111111111,0.321388888888889,0.335,0.536666666666667,2.13194444444444,0.640277777777778,0.734444444444444,0.765,0.669722222222222,0.72,0.526111111111111,0.663888888888889,0.724166666666667,0.600833333333333,0.438055555555555,0.869722222222222,0.674722222222222,0.255555555555555,0.686666666666667,0.288055555555555,0.92,0.671666666666667,2.62,0.180277777777778,0.568888888888889,0.816944444444444,0.691666666666667,0.637222222222222,0.534166666666667,0.545833333333333,0.658611111111111,2.44527777777778,2.26611111111111,2.87472222222222,2.92805555555556,0.611944444444444,0.999166666666667,0.658888888888889,0.650555555555556,0.792222222222222,0.367777777777778,0.709722222222222,1.02388888888889,0.622777777777778,0.708055555555555,0.56,0.673333333333333,0.921388888888889,0.831944444444444,2.19027777777778,1.62083333333333,2.44388888888889,0.646944444444444,2.99361111111111,2.77055555555556,1.14777777777778,1.47083333333333,0.998888888888889,2.135,0.707777777777778,2.89361111111111,0.675,0.898888888888889,0.6475,0.178055555555555,0.7225,0.421111111111111,0.645277777777778
"L100",0.444166666666667,3.52638888888889,1.35166666666667,0.218333333333333,0.720555555555556,0.388611111111111,0.657777777777778,0,0.611944444444444,0.6925,1.5475,0.444722222222222,1.69861111111111,0.685,1.97,0.506388888888889,1.03305555555556,0.301666666666667,0.78,1.08944444444444,0.617222222222222,1.22166666666667,0.551111111111111,0.636666666666667,0.375555555555555,0.551666666666667,0.641666666666667,0.693888888888889,0.620277777777778,0.529444444444444,0.605277777777778,0.756111111111111,0.795277777777778,0.779166666666667,0.295,1.64166666666667,0.536111111111111,0.645277777777778,0.66,0.560277777777778,0.613611111111111,0.375555555555555,0.551666666666667,0.654444444444444,0.639166666666667,0.568888888888889,0.783888888888889,0.373333333333333,0.728333333333333,0.262777777777778,0.605833333333333,0.894722222222222,0.585833333333333,2.51472222222222,0.663055555555555,0.6175,0.355277777777778,0.585277777777778,0.465,0.3025,0.155,0.5725,1.955,1.90777777777778,2.76972222222222,2.82305555555556,0.162222222222222,0.894166666666667,0.573611111111111,0.644722222222222,0.687222222222222,0.816944444444444,0.603333333333333,0.918611111111111,0.616944444444444,0.601666666666667,0.613055555555556,0.597222222222222,0.835555555555556,0.726944444444444,2.10416666666667,1.2625,1.95361111111111,0.537777777777778,2.88833333333333,2.66555555555556,1.04277777777778,1.36583333333333,0.640555555555555,1.64472222222222,0.601388888888889,2.78861111111111,0.316666666666667,0.793888888888889,0.641666666666667,0.660833333333333,0.616111111111111,0.5225,0.536111111111111
"L503",0.830555555555556,3.69694444444444,1.35277777777778,0.660833333333333,0.412777777777778,0.487777777777778,0.186666666666667,0.584166666666667,0,0.5375,1.93388888888889,0.910555555555555,2.085,0.126111111111111,1.97083333333333,0.514722222222222,1.03416666666667,0.675,0.335555555555555,1.105,0.569166666666667,1.22277777777778,0.553611111111111,0.520833333333333,0.452777777777778,0.571388888888889,0.656944444444444,0.696388888888889,0.622777777777778,0.545,0.620833333333333,0.756944444444444,0.326388888888889,0.34,0.432777777777778,2.02805555555556,0.536388888888889,0.660833333333333,0.661111111111111,0.565555555555556,0.616111111111111,0.452777777777778,0.571388888888889,0.669722222222222,0.605555555555555,0.333888888888889,0.954444444444444,0.759166666666667,0.259166666666667,0.582777777777778,0.167777777777778,0.972777777777778,0.756388888888889,2.51583333333333,0.193333333333333,0.417777777777778,0.779444444444444,0.5875,0.533333333333333,0.430277777777778,0.511666666666667,0.743055555555556,2.34138888888889,2.16222222222222,2.77083333333333,2.82416666666667,0.517222222222222,0.895277777777778,0.507222222222222,0.660277777777778,0.688333333333333,0.3725,0.605833333333333,0.919722222222222,0.6325,0.603888888888889,0.565,0.612777777777778,1.0175,0.728055555555556,2.27472222222222,1.51694444444444,2.33972222222222,0.543055555555555,2.88944444444444,2.66666666666667,1.04388888888889,1.36694444444444,0.894722222222222,2.03111111111111,0.603888888888889,2.78972222222222,0.571111111111111,0.795,0.657222222222222,0.190833333333333,0.618611111111111,0.316944444444444,0.541388888888889
"L594",0.919722222222222,4.01583333333333,1.35888888888889,0.728611111111111,0.648611111111111,0.878055555555556,0.53,0.698333333333333,0.553333333333333,0,2.02305555555556,1,2.17416666666667,0.597222222222222,1.97722222222222,0.393055555555555,1.04055555555556,0.905,0.291388888888889,1.34055555555556,0.131666666666667,1.22888888888889,0.515833333333333,0.542222222222222,0.748888888888889,0.465555555555556,0.203611111111111,0.452222222222222,0.452222222222222,0.185,0.236388888888889,0.763333333333333,0.388055555555555,0.290555555555555,0.548055555555556,2.11722222222222,0.536388888888889,0.319166666666667,0.667222222222222,0.476944444444444,0.385277777777778,0.748888888888889,0.465555555555556,0.284166666666667,0.136944444444444,0.607222222222222,1.27305555555556,0.989166666666666,0.424166666666667,0.650555555555556,0.616944444444444,1.20833333333333,1.07527777777778,2.52222222222222,0.466388888888889,0.493888888888889,0.868888888888889,0.448333333333333,0.600833333333333,0.666944444444444,0.724444444444444,1.06194444444444,2.43055555555556,2.23777777777778,2.77694444444444,2.83027777777778,0.651388888888889,0.901388888888889,0.478888888888889,0.206944444444444,0.694444444444444,0.328333333333333,0.378055555555555,0.926111111111111,0.179166666666667,0.361388888888889,0.092777777777778,0.258055555555555,1.25333333333333,0.734166666666667,2.59361111111111,1.5925,2.42888888888889,0.454166666666667,2.89583333333333,2.67277777777778,1.05027777777778,1.37305555555556,0.970555555555556,2.12027777777778,0.402777777777778,2.79583333333333,0.646666666666667,0.801111111111111,0.203888888888889,0.427777777777778,0.448055555555555,0.6275,0.4525
