,"0_CDRJ","L019","L058","L659","L380","L571",5249,"L610","L100",1251,"L464","L135","L722",5348,5025,"L057","L701","L445","L096","L188","L613","L597","L022","L650","L012","L724",1197,"L011","L553","L502",5434,"L628","L007",9140,9112,1128,"L419","L278","L258","L537",1463,"L145","L124","L865","L519","L501","L776","L554","L596",1397,"L979",5094,"L544","L684","L913","L710",5234,"L587","L772","L607","L657","L788","L866","L990",9132,9336,9128,9109,9145,9339,"L424","L897","L532",1481,"L573","L656","L782","L308","L081","L938","L749","L515",5164,"L545","L592","L617","L971",9157,9105,"L879"
"0_CDRJ",0,1.09444444444444,1.15305555555556,4.18166666666667,0.386944444444444,1.11527777777778,1.48555555555556,3.01805555555556,1.01222222222222,1.13777777777778,1.67861111111111,2.96555555555556,5.07666666666667,4.35972222222222,0.852777777777778,0.738611111111111,0.683888888888889,0.823055555555555,1.09194444444444,0.907222222222222,0.85,0.521388888888889,0.857777777777778,0.848888888888889,0.385,0.475,0.683888888888889,0.846666666666667,0.937777777777778,0.521388888888889,2.67722222222222,1.85194444444444,2.8025,0.94,0.920277777777778,0.874166666666667,0.85,0.397222222222222,0.666388888888889,1.73416666666667,0.943055555555556,4.1975,0.931944444444444,1.03,4.25444444444444,4.19944444444444,0.936111111111111,0.868611111111111,0.915555555555556,0.845833333333333,0.783055555555556,1.57444444444444,1.41416666666667,1.10888888888889,0.986944444444444,0.902777777777778,2.83472222222222,1.45611111111111,0.784166666666667,1.13611111111111,1.35527777777778,0.698888888888889,0.761388888888889,2.46222222222222,0.866388888888889,0.6425,0.811388888888889,0.829444444444444,0.868333333333333,1.09833333333333,4.92777777777778,1.58166666666667,4.24527777777778,0.753055555555556,2.76888888888889,1.07861111111111,1.2025,0.875,1.23305555555556,0.820833333333333,0.861111111111111,0.830555555555556,0.966388888888889,1.32916666666667,0.872222222222222,1.32194444444444,1.71444444444444,0.889722222222222,1.08194444444444,1.66888888888889
"L019",0.913888888888889,0,1.79111111111111,3.79722222222222,0.741944444444444,1.27916666666667,0.87,2.63361111111111,1.06055555555556,1.39333333333333,0.988888888888889,2.58111111111111,4.69222222222222,3.97527777777778,0.908055555555556,0.793888888888889,0.847777777777778,0.881111111111111,1.25583333333333,0.955555555555556,0.908055555555556,0.971944444444444,0.913055555555556,0.903888888888889,0.745,0.796111111111111,0.847777777777778,0.898611111111111,0.986111111111111,0.971944444444444,2.2925,2.43416666666667,2.41805555555556,1.01027777777778,0.979444444444444,0.932222222222222,0.908055555555556,0.624722222222222,0.830555555555556,1.04444444444444,1.0025,3.81305555555556,0.983888888888889,1.19388888888889,3.87,3.815,0.995555555555555,0.920555555555556,0.963888888888889,0.897777777777778,0.851666666666667,1.21305555555556,0.857777777777778,1.105,1.15083333333333,0.973055555555555,2.45027777777778,0.730833333333333,0.948055555555555,1.06277777777778,1.28611111111111,0.747222222222222,0.925277777777778,2.07777777777778,1.03055555555556,0.7275,0.863333333333333,0.884722222222222,0.923611111111111,1.11055555555556,4.54333333333333,2.21944444444444,3.86083333333333,0.805277777777778,2.38444444444444,1.13805555555556,1.36666666666667,0.930277777777778,0.543333333333333,0.878888888888889,0.909444444444444,0.878888888888889,1.01472222222222,1.38277777777778,0.924166666666667,0.819166666666667,1.025,1.05361111111111,1.15222222222222,2.30666666666667
"L058",1.38888888888889,2.02666666666667,0,5.35638888888889,1.56166666666667,2.29,2.42833333333333,4.19277777777778,2.18694444444444,1.92194444444444,2.61083333333333,4.14055555555556,6.25138888888889,5.53444444444444,2.0275,1.91333333333333,1.85861111111111,1.99777777777778,1.97611111111111,2.08194444444444,2.02472222222222,1.69638888888889,2.03277777777778,2.02361111111111,1.56,1.64972222222222,1.85861111111111,2.02138888888889,2.11277777777778,1.69638888888889,3.85194444444445,1.91611111111111,3.97722222222222,2.11472222222222,2.095,2.04916666666667,2.02472222222222,1.57222222222222,1.84138888888889,2.66638888888889,2.11805555555556,5.37222222222222,2.10666666666667,1.93027777777778,5.42944444444444,5.37444444444444,2.11111111111111,2.04361111111111,2.09055555555556,2.02055555555556,1.95805555555556,2.51722222222222,2.35694444444444,2.28388888888889,2.16166666666667,2.0775,4.00944444444444,2.39888888888889,1.95916666666667,2.31083333333333,2.53,1.87388888888889,1.94583333333333,3.63694444444444,2.04138888888889,1.8175,1.98611111111111,2.00444444444444,2.04305555555556,2.27333333333333,6.10277777777778,0.570277777777778,5.42,1.92805555555556,3.94361111111111,2.25361111111111,2.3775,2.04972222222222,2.16527777777778,1.99555555555556,2.03583333333333,2.00527777777778,2.14138888888889,2.50416666666667,2.04722222222222,2.26472222222222,2.64666666666667,2.06444444444444,2.25694444444444,0.6575
"L659",4.10138888888889,3.78666666666667,5.22361111111111,0,3.92944444444444,4.27,4.65666666666667,2.90805555555556,3.9325,4.57111111111111,4.21611111111111,3.36861111111111,0.967777777777778,0.2475,3.74388888888889,3.62972222222222,3.93083333333333,3.71416666666667,4.43361111111111,3.8275,3.74111111111111,4.14972222222222,3.74916666666667,3.74,3.9325,3.98361111111111,3.93083333333333,3.73777777777778,3.85833333333333,4.14972222222222,3.08,5.87416666666667,2.03888888888889,3.95833333333333,3.48611111111111,3.76527777777778,3.74111111111111,3.81222222222222,3.96,4.27166666666667,3.47861111111111,0.044722222222222,3.82305555555555,4.37166666666667,0.140833333333333,0.141666666666667,3.47194444444444,3.75972222222222,3.83611111111111,3.73694444444444,3.69083333333333,4.72222222222222,4.56166666666667,3.39277777777778,4.14388888888889,3.92111111111111,3.17944444444444,4.51777777777778,4.12583333333333,3.35055555555556,3.58555555555556,3.67666666666667,4.10305555555556,2.865,4.03833333333333,3.72388888888889,3.7025,3.72083333333333,3.75944444444444,3.41027777777778,0.855833333333333,5.65194444444444,0.131388888888889,3.64444444444444,2.345,3.61416666666667,4.37444444444444,3.76611111111111,3.77055555555556,3.71194444444444,3.78138888888889,3.75083333333333,3.88694444444444,3.6825,3.76361111111111,4.46944444444444,3.32083333333333,4.03583333333333,4.04833333333333,5.73916666666667
"L380",0.365277777777778,0.954166666666667,1.48722222222222,4.05222222222222,0,0.978888888888889,1.34527777777778,2.88861111111111,0.871944444444444,1.09333333333333,1.53833333333333,2.83638888888889,4.94722222222222,4.23027777777778,0.719444444444444,0.605277777777778,0.5475,0.692222222222222,0.955833333333333,0.766944444444444,0.719166666666667,0.416111111111111,0.724444444444444,0.715277777777778,0.145,0.3,0.5475,0.71,0.7975,0.416111111111111,2.54777777777778,2.18583333333333,2.67305555555556,0.821666666666667,0.790833333333333,0.743611111111111,0.719166666666667,0.232222222222222,0.530277777777778,1.59388888888889,0.813888888888889,4.06805555555556,0.795277777777778,0.893611111111111,4.12527777777778,4.07027777777778,0.806944444444444,0.731944444444444,0.775277777777778,0.709166666666667,0.663055555555555,1.43416666666667,1.27361111111111,0.979722222222222,0.850555555555555,0.784444444444445,2.70555555555556,1.31583333333333,0.648055555555556,1.00666666666667,1.22583333333333,0.558611111111111,0.625,2.33277777777778,0.730277777777778,0.506388888888889,0.674722222222222,0.696111111111111,0.735,0.969166666666667,4.79861111111111,1.91555555555556,4.11583333333333,0.616388888888889,2.63972222222222,0.949444444444444,1.06638888888889,0.741388888888889,1.09277777777778,0.690277777777778,0.720833333333333,0.690277777777778,0.826111111111111,1.2,0.735555555555556,1.18138888888889,1.57416666666667,0.753333333333333,0.963611111111111,2.00277777777778
"L571",1.09861111111111,1.40361111111111,2.23888888888889,4.28277777777778,0.921944444444444,0,1.79472222222222,3.11916666666667,0.571111111111111,0.616666666666667,1.98777777777778,3.06666666666667,5.17777777777778,4.46083333333333,0.953888888888889,0.839722222222222,0.792777777777778,0.924166666666667,0.668611111111111,0.717777777777778,0.951111111111111,0.838055555555555,0.958888888888889,0.95,0.925,0.951666666666667,0.792777777777778,0.947777777777778,0.763055555555556,0.838055555555555,2.77833333333333,2.34333333333333,2.90361111111111,0.440833333333333,1.02138888888889,0.975277777777778,0.951111111111111,0.823611111111111,0.822222222222222,2.04333333333333,1.04416666666667,4.29861111111111,0.964166666666667,0.760833333333333,4.35555555555556,4.30055555555556,1.0375,0.9425,0.726388888888889,0.946944444444444,0.885,1.88361111111111,1.72333333333333,1.21027777777778,0.154722222222222,0.582222222222222,2.93583333333333,1.76527777777778,0.655555555555556,1.23722222222222,1.45638888888889,0.803333333333333,0.702222222222222,2.56333333333333,0.3275,0.745555555555556,0.856388888888889,0.930555555555556,0.969444444444444,1.19944444444444,5.02916666666667,2.66722222222222,4.34638888888889,0.854444444444444,2.87,1.17972222222222,0.278333333333333,0.976111111111111,1.54222222222222,0.921944444444444,0.757222222222222,0.83,0.704722222222222,1.43027777777778,0.963055555555555,1.63111111111111,1.92527777777778,0.692222222222222,0.480555555555555,2.75444444444444
5249,1.30611111111111,0.860277777777778,2.20583333333333,4.59638888888889,1.13416666666667,1.67138888888889,0,3.43277777777778,1.45277777777778,1.78555555555556,1.49083333333333,3.38055555555556,5.49138888888889,4.77472222222222,1.30027777777778,1.18611111111111,1.24,1.27305555555556,1.64805555555556,1.34777777777778,1.3,1.36416666666667,1.30527777777778,1.29611111111111,1.13722222222222,1.18833333333333,1.24,1.29083333333333,1.37833333333333,1.36416666666667,3.09194444444444,2.84916666666667,3.2175,1.4025,1.37166666666667,1.32444444444444,1.3,1.01666666666667,1.22277777777778,1.48277777777778,1.39472222222222,4.6125,1.37611111111111,1.58611111111111,4.66944444444444,4.61444444444444,1.38777777777778,1.31277777777778,1.35611111111111,1.29,1.24388888888889,0.575833333333333,0.104166666666667,1.56055555555556,1.54305555555556,1.36527777777778,3.24972222222222,0.129444444444444,1.34027777777778,1.58777777777778,1.80666666666667,1.13944444444444,1.3175,2.87722222222222,1.42277777777778,1.11972222222222,1.25555555555556,1.27694444444444,1.31583333333333,1.55,5.34277777777778,2.63416666666667,4.66,1.1975,3.18388888888889,1.53027777777778,1.75888888888889,1.3225,1.34277777777778,1.27111111111111,1.30166666666667,1.27111111111111,1.40694444444444,1.78083333333333,1.31638888888889,0.212222222222222,1.82444444444444,1.44583333333333,1.54444444444444,2.72138888888889
"L610",2.90527777777778,2.59055555555556,4.02722222222222,2.90166666666667,2.73333333333333,3.07361111111111,3.46027777777778,0,2.73638888888889,3.37472222222222,3.01972222222222,0.939444444444444,3.79666666666667,3.07972222222222,2.54777777777778,2.43361111111111,2.73444444444444,2.51805555555556,3.23722222222222,2.63138888888889,2.545,2.95333333333333,2.55277777777778,2.54361111111111,2.73611111111111,2.78722222222222,2.73444444444444,2.54138888888889,2.66194444444444,2.95333333333333,0.586666666666667,4.67777777777778,1.04194444444444,2.76222222222222,2.29,2.56916666666667,2.545,2.61583333333333,2.76388888888889,3.07527777777778,2.2825,2.9175,2.62666666666667,3.17527777777778,2.97444444444444,2.91944444444444,2.27555555555556,2.56361111111111,2.63972222222222,2.54055555555556,2.49472222222222,3.52583333333333,3.36527777777778,2.19666666666667,2.94777777777778,2.725,0.659444444444445,3.32138888888889,2.92972222222222,2.15444444444444,2.38944444444444,2.48027777777778,2.90666666666667,0.770277777777778,2.84222222222222,2.5275,2.50611111111111,2.52444444444444,2.56333333333333,2.21416666666667,3.64777777777778,4.45555555555556,2.965,2.44805555555556,0.564166666666667,2.41805555555556,3.17833333333333,2.57,2.57444444444444,2.51583333333333,2.58527777777778,2.55472222222222,2.69055555555556,2.48611111111111,2.56722222222222,3.27305555555556,2.12472222222222,2.83972222222222,2.85222222222222,4.54277777777778
"L100",0.908611111111111,1.115,2.03083333333333,3.89027777777778,0.736666666666667,0.639722222222222,1.50583333333333,2.72666666666667,0,1.11722222222222,1.69888888888889,2.67416666666667,4.78527777777778,4.06833333333333,0.466388888888889,0.33,0.738055555555556,0.500833333333333,1.16916666666667,0.153888888888889,0.481666666666667,0.978055555555556,0.471666666666667,0.4625,0.739722222222222,0.790833333333333,0.738055555555556,0.454444444444444,0.199166666666667,0.978055555555556,2.38583333333333,2.62194444444444,2.51111111111111,0.350277777777778,0.628888888888889,0.4525,0.481666666666667,0.619444444444444,0.7675,1.75444444444444,0.651666666666667,3.90611111111111,0.531388888888889,1.11944444444444,3.96305555555556,3.90805555555556,0.645,0.468055555555555,0.1625,0.453611111111111,0.399166666666667,1.595,1.43444444444444,0.817777777777778,0.499444444444444,0.511111111111111,2.54333333333333,1.47638888888889,0.804166666666667,0.844722222222222,1.06388888888889,0.381388888888889,0.850833333333333,2.17083333333333,0.499166666666667,0.531111111111111,0.2925,0.443333333333333,0.466111111111111,0.807222222222222,4.63666666666667,2.45916666666667,3.95388888888889,0.363611111111111,2.4775,0.787222222222222,0.777777777777778,0.488611111111111,1.25333333333333,0.495277777777778,0.193055555555555,0.266111111111111,0.140833333333333,1.03777777777778,0.471666666666667,1.34222222222222,1.53277777777778,0.635833333333333,0.224722222222222,2.54638888888889
1251,1.14333333333333,1.44861111111111,1.79,4.51833333333333,0.966944444444444,0.6475,1.83944444444444,3.35472222222222,1.10611111111111,0,2.0325,3.3025,5.41333333333333,4.69666666666667,1.18972222222222,1.07555555555556,0.909444444444444,1.16,0.317222222222222,1.25277777777778,1.18694444444444,0.882777777777778,1.19472222222222,1.18555555555556,0.97,0.996666666666667,0.909444444444444,1.18333333333333,1.29805555555556,0.882777777777778,3.01388888888889,1.89444444444444,3.13944444444444,0.98,1.25694444444444,1.21111111111111,1.18694444444444,0.868611111111111,0.879444444444444,2.08805555555556,1.28,4.53444444444444,1.26861111111111,0.389444444444444,4.59138888888889,4.53638888888889,1.27305555555556,1.20555555555556,1.28166666666667,1.18277777777778,1.12,1.92861111111111,1.76805555555556,1.44583333333333,0.689722222222222,1.10916666666667,3.17166666666667,1.81,0.703055555555555,1.47305555555556,1.69194444444444,1.06,0.589444444444444,2.79916666666667,0.838333333333333,0.979444444444444,1.14805555555556,1.16638888888889,1.20527777777778,1.43527777777778,5.26472222222222,2.21833333333333,4.58194444444445,1.09,3.10583333333333,1.41555555555556,0.756388888888889,1.21194444444444,1.58694444444444,1.15777777777778,1.22722222222222,1.19666666666667,1.23972222222222,1.66611111111111,1.20916666666667,1.67583333333333,2.06861111111111,0.956388888888889,1.01555555555556,2.30555555555556
