execucao_id,data_entrega,loja,hora_recebimento,demanda_volume,demanda_peso,tipo_entrega,jornada,placa,tipologia,volume_entregue,peso_entregue,capacidade_volume,capacidade_peso,valorFrete,hora_saida
1,2022-01-27,5420,07:00,5.7,1240.9,G,1,AMV3D64,3/4,11.83,2582.3,20.0,4000.0,1073.68,05:57
1,2022-01-27,L685,12:00,6.13,1341.4,G,1,AMV3D64,3/4,11.83,2582.3,20.0,4000.0,1073.68,05:57
1,2022-01-27,0_CDRJ,15:57,0.0,0.0,G,1,AMV3D64,3/4,11.83,2582.3,20.0,4000.0,1073.68,05:57
1,2022-01-28,9141,00:09,1.0,383.5,G,2,AMV3D64,3/4,14.22,3578.8,20.0,4000.0,548.6495,20:02
1,2022-01-28,0_CDRJ,03:60,0.0,0.0,G,2,AMV3D64,3/4,14.22,3578.8,20.0,4000.0,548.6495,20:02
1,2022-01-27,1073,20:59,13.22,3195.3,G,2,AMV3D64,3/4,14.22,3578.8,20.0,4000.0,548.6495,20:02
1,2022-01-27,L463,07:00,10.56,2022.4,G,1,AQE8920,3/4,14.72,3694.9,36.0,4200.0,710.86,05:41
1,2022-01-27,1266,11:01,4.16,1672.5,G,1,AQE8920,3/4,14.72,3694.9,36.0,4200.0,710.86,05:41
1,2022-01-27,0_CDRJ,14:55,0.0,0.0,G,1,AQE8920,3/4,14.72,3694.9,36.0,4200.0,710.86,05:41
1,2022-01-27,L077,10:00,9.09,2446.8,G,1,AUC8J23,3/4,20.72,4746.5,36.0,5000.0,645.47,08:49
1,2022-01-27,L777,14:00,11.63,2299.7,G,1,AUC8J23,3/4,20.72,4746.5,36.0,5000.0,645.47,08:49
1,2022-01-27,0_CDRJ,17:32,0.0,0.0,G,1,AUC8J23,3/4,20.72,4746.5,36.0,5000.0,645.47,08:49
1,2022-01-28,1175,00:09,13.71,3196.3,G,2,AUC8J23,3/4,21.01,4531.9,36.0,5000.0,528.7595,20:09
1,2022-01-28,0_CDRJ,04:03,0.0,0.0,G,2,AUC8J23,3/4,21.01,4531.9,36.0,5000.0,528.7595,20:09
1,2022-01-27,L536,21:04,7.3,1335.6,G,2,AUC8J23,3/4,21.01,4531.9,36.0,5000.0,528.7595,20:09
1,2022-01-27,9119,09:00,2.74,1120.4,G,1,AUM4I16,3/4,16.96,4249.1,36.0,5000.0,622.07,07:53
1,2022-01-27,L131,14:00,14.22,3128.7,G,1,AUM4I16,3/4,16.96,4249.1,36.0,5000.0,622.07,07:53
1,2022-01-27,0_CDRJ,17:51,0.0,0.0,G,1,AUM4I16,3/4,16.96,4249.1,36.0,5000.0,622.07,07:53
1,2022-01-28,L509,00:09,13.8,2776.4,G,2,AUM4I16,3/4,13.8,2776.4,36.0,5000.0,548.6495,22:55
1,2022-01-28,0_CDRJ,04:34,0.0,0.0,G,2,AUM4I16,3/4,13.8,2776.4,36.0,5000.0,548.6495,22:55
1,2022-01-27,L096,09:00,17.12,2878.9,G,1,AUM6B20,3/4,21.900000000000002,4218.0,36.0,5000.0,1522.93,08:04
1,2022-01-27,5009,12:38,4.78,1339.1,G,1,AUM6B20,3/4,21.900000000000002,4218.0,36.0,5000.0,1522.93,08:04
1,2022-01-27,0_CDRJ,16:26,0.0,0.0,G,1,AUM6B20,3/4,21.900000000000002,4218.0,36.0,5000.0,1522.93,08:04
