Alis

CUSTOMERS
store1  store2  tempo_deslocamento
   1       1           0.00       
   1       2           0.93       
   1       3           0.45       
   1       4           1.93       
   1       5           0.11       
   1       6           2.52       
   1       7           0.85       
   1       8           0.12       
   1       9           2.20       
   1      10           3.54       
   1      11           0.94       
   1      12           0.09       
   1      13           1.28       
   1      14           1.33       
   1      15           0.31       
   1      16           1.61       
   1      17           0.15       
   1      18           0.65       
   1      19           1.03       
   1      20           1.28       
   1      21           0.31       
   1      22           1.61       
   1      23           1.62       
   1      24           1.17       
   1      25           0.23       
   1      26           1.26       
   1      27           0.83       
   1      28           2.06       
   1      29           1.69       
   1      30           0.23       
   1      31           1.69       
   1      32           0.09       
   1      33           0.28       
   1      34           0.07       
   1      35           0.22       
   1      36           2.10       
   1      37           0.42       
   1      38           0.85       
   1      39           0.59       
   1      40           3.05       
   1      41           0.31       
   1      42           1.79       
   1      43           1.28       
   1      44           1.26       
   1      45           0.24       
   1      46           1.69       
   1      47           0.33       
   1      48           1.91       
   1      49           2.53       
   1      50           1.54       
   2       1           1.32       
   2       2           0.00       
   2       3           0.04       
   2       4           0.34       
   2       5           2.68       
   2       6           0.55       
   2       7           0.31       
   2       8           0.39       
   2       9           0.22       
   2      10           0.42       
   2      11           0.35       
   2      12           1.21       
   2      13           0.03       
   2      14           0.30       
   2      15           0.08       
   2      16           0.36       
   2      17           1.32       
   2      18           0.05       
   2      19           0.09       
   2      20           0.19       
   2      21           0.08       
   2      22           0.36       
   2      23           0.23       
   2      24           0.33       
   2      25           0.46       
   2      26           0.08       
   2      27           0.28       
   2      28           0.41       
   2      29           0.15       
   2      30           0.46       
   2      31           0.28       
   2      32           1.21       
   2      33           1.65       
   2      34           0.40       
   2      35           0.28       
   2      36           0.28       
   2      37           0.10       
   2      38           0.31       
   2      39           0.48       
   2      40           1.39       
   2      41           0.22       
   2      42           0.13       
   2      43           0.19       
   2      44           0.08       
   2      45           0.09       
   2      46           0.54       
   2      47           0.47       
   2      48           0.11       
   2      49           0.37       
   2      50           0.44       
   3       1           2.15       
   3       2           0.23       
   3       3           0.00       
   3       4           0.21       
   3       5           1.22       
   3       6           0.53       
   3       7           2.30       
   3       8           0.75       
   3       9           0.15       
   3      10           3.67       
   3      11           0.21       
   3      12           0.45       
   3      13           0.08       
   3      14           0.14       
   3      15           0.07       
   3      16           0.09       
   3      17           2.15       
   3      18           0.24       
   3      19           0.52       
   3      20           0.37       
   3      21           0.07       
   3      22           0.09       
   3      23           0.37       
   3      24           0.21       
   3      25           0.47       
   3      26           0.34       
   3      27           0.62       
   3      28           0.53       
   3      29           0.50       
   3      30           0.47       
   3      31           0.54       
   3      32           0.45       
   3      33           1.15       
   3      34           0.02       
   3      35           0.36       
   3      36           0.30       
   3      37           0.07       
   3      38           2.30       
   3      39           0.56       
   3      40           0.86       
   3      41           0.13       
   3      42           0.51       
   3      43           0.37       
   3      44           0.34       
   3      45           0.24       
   3      46           0.06       
   3      47           0.64       
   3      48           0.17       
   3      49           0.01       
   3      50           0.26       
   4       1           1.84       
   4       2           0.05       
   4       3           0.12       
   4       4           0.00       
   4       5           0.69       
   4       6           0.36       
   4       7           0.37       
   4       8           0.30       
   4       9           0.74       
   4      10           2.29       
   4      11           0.34       
   4      12           1.41       
   4      13           0.10       
   4      14           0.08       
   4      15           0.28       
   4      16           0.72       
   4      17           1.84       
   4      18           0.03       
   4      19           0.11       
   4      20           0.74       
   4      21           0.28       
   4      22           0.72       
   4      23           0.20       
   4      24           0.25       
   4      25           0.13       
   4      26           0.50       
   4      27           0.28       
   4      28           1.21       
   4      29           0.27       
   4      30           0.13       
   4      31           0.08       
   4      32           1.41       
   4      33           0.20       
   4      34           0.64       
   4      35           0.10       
   4      36           0.19       
   4      37           0.39       
   4      38           0.37       
   4      39           0.35       
   4      40           1.55       
   4      41           0.36       
   4      42           0.16       
   4      43           0.74       
   4      44           0.50       
   4      45           0.13       
   4      46           0.45       
   4      47           0.25       
   4      48           0.06       
   4      49           0.46       
   4      50           0.01       
   5       1           0.79       
   5       2           1.16       
   5       3           0.84       
   5       4           2.69       
   5       5           0.00       
   5       6           2.89       
   5       7           0.05       
   5       8           0.97       
   5       9           2.06       
   5      10           6.09       
   5      11           0.59       
   5      12           2.67       
   5      13           0.91       
   5      14           2.43       
   5      15           0.98       
   5      16           2.33       
   5      17           0.79       
   5      18           0.70       
   5      19           0.53       
   5      20           0.91       
   5      21           0.98       
   5      22           2.33       
   5      23           0.42       
   5      24           1.68       
   5      25           1.35       
   5      26           1.29       
   5      27           1.08       
   5      28           3.56       
   5      29           0.08       
   5      30           1.35       
   5      31           0.05       
   5      32           2.67       
   5      33           0.01       
   5      34           0.90       
   5      35           0.58       
   5      36           1.21       
   5      37           1.40       
   5      38           0.05       
   5      39           0.42       
   5      40           4.28       
   5      41           1.74       
   5      42           1.14       
   5      43           0.91       
   5      44           1.29       
   5      45           0.16       
   5      46           0.39       
   5      47           0.67       
   5      48           0.65       
   5      49           2.40       
   5      50           1.43       
   6       1           0.26       
   6       2           0.16       
   6       3           0.38       
   6       4           0.45       
   6       5           1.77       
   6       6           0.00       
   6       7           2.40       
   6       8           0.96       
   6       9           0.37       
   6      10           1.56       
   6      11           0.40       
   6      12           0.69       
   6      13           0.23       
   6      14           0.34       
   6      15           0.14       
   6      16           0.18       
   6      17           0.26       
   6      18           0.48       
   6      19           0.29       
   6      20           1.11       
   6      21           0.14       
   6      22           0.18       
   6      23           0.25       
   6      24           0.16       
   6      25           0.17       
   6      26           0.54       
   6      27           0.33       
   6      28           0.40       
   6      29           0.76       
   6      30           0.17       
   6      31           0.05       
   6      32           0.69       
   6      33           2.72       
   6      34           0.20       
   6      35           0.12       
   6      36           0.07       
   6      37           0.03       
   6      38           2.40       
   6      39           0.01       
   6      40           0.04       
   6      41           0.68       
   6      42           0.15       
   6      43           1.11       
   6      44           0.54       
   6      45           0.19       
   6      46           1.02       
   6      47           0.50       
   6      48           0.19       
   6      49           0.03       
   6      50           0.12       
   7       1           0.46       
   7       2           0.95       
   7       3           1.18       
   7       4           1.81       
   7       5           0.13       
   7       6           2.24       
   7       7           0.00       
   7       8           0.43       
   7       9           1.22       
   7      10           1.78       
   7      11           0.90       
   7      12           1.21       
   7      13           2.89       
   7      14           0.94       
   7      15           1.49       
   7      16           0.73       
   7      17           0.46       
   7      18           0.51       
   7      19           0.33       
   7      20           3.28       
   7      21           1.49       
   7      22           0.73       
   7      23           0.46       
   7      24           0.87       
   7      25           1.24       
   7      26           1.07       
   7      27           2.88       
   7      28           3.02       
   7      29           0.02       
   7      30           1.24       
   7      31           1.59       
   7      32           1.21       
   7      33           0.13       
   7      34           2.60       
   7      35           0.79       
   7      36           1.46       
   7      37           1.45       
   7      38           0.15       
   7      39           3.07       
   7      40           1.25       
   7      41           0.51       
   7      42           0.76       
   7      43           3.28       
   7      44           1.07       
   7      45           1.66       
   7      46           0.42       
   7      47           1.11       
   7      48           1.48       
   7      49           0.07       
   7      50           1.66       
   8       1           1.52       
   8       2           0.74       
   8       3           0.12       
   8       4           0.63       
   8       5           1.47       
   8       6           0.05       
   8       7           0.07       
   8       8           0.00       
   8       9           0.96       
   8      10           3.73       
   8      11           0.77       
   8      12           1.68       
   8      13           0.34       
   8      14           0.06       
   8      15           0.10       
   8      16           0.47       
   8      17           1.52       
   8      18           0.93       
   8      19           0.86       
   8      20           0.06       
   8      21           0.10       
   8      22           0.47       
   8      23           0.81       
   8      24           0.25       
   8      25           0.26       
   8      26           1.12       
   8      27           0.26       
   8      28           1.48       
   8      29           0.79       
   8      30           0.26       
   8      31           0.75       
   8      32           1.68       
   8      33           0.95       
   8      34           0.75       
   8      35           0.07       
   8      36           0.70       
   8      37           1.27       
   8      38           0.07       
   8      39           0.74       
   8      40           0.49       
   8      41           0.63       
   8      42           0.89       
   8      43           0.06       
   8      44           1.12       
   8      45           0.13       
   8      46           1.26       
   8      47           0.85       
   8      48           0.14       
   8      49           0.59       
   8      50           0.74       
   9       1           0.51       
   9       2           0.07       
   9       3           0.07       
   9       4           0.81       
   9       5           1.90       
   9       6           0.63       
   9       7           1.24       
   9       8           0.52       
   9       9           0.00       
   9      10           2.28       
   9      11           0.25       
   9      12           0.40       
   9      13           0.38       
   9      14           0.37       
   9      15           0.05       
   9      16           0.22       
   9      17           0.51       
   9      18           0.01       
   9      19           0.40       
   9      20           0.03       
   9      21           0.05       
   9      22           0.22       
   9      23           0.41       
   9      24           0.22       
   9      25           0.38       
   9      26           0.07       
   9      27           0.58       
   9      28           0.31       
   9      29           0.28       
   9      30           0.38       
   9      31           0.38       
   9      32           0.40       
   9      33           1.04       
   9      34           0.34       
   9      35           0.29       
   9      36           0.17       
   9      37           0.54       
   9      38           1.24       
   9      39           0.44       
   9      40           0.95       
   9      41           0.25       
   9      42           0.13       
   9      43           0.03       
   9      44           0.07       
   9      45           0.12       
   9      46           0.16       
   9      47           0.85       
   9      48           0.59       
   9      49           0.02       
   9      50           0.47       
  10       1           1.02       
  10       2           3.52       
  10       3           1.98       
  10       4           4.23       
  10       5           1.18       
  10       6           2.82       
  10       7           4.11       
  10       8           0.83       
  10       9           1.53       
  10      10           0.00       
  10      11           2.33       
  10      12           2.10       
  10      13           1.20       
  10      14           1.65       
  10      15           1.67       
  10      16           0.07       
  10      17           1.02       
  10      18           3.06       
  10      19           2.65       
  10      20           3.20       
  10      21           1.67       
  10      22           0.07       
  10      23           3.30       
  10      24           2.79       
  10      25           1.71       
  10      26           0.31       
  10      27           1.91       
  10      28           1.07       
  10      29           1.39       
  10      30           1.71       
  10      31           2.33       
  10      32           2.10       
  10      33           3.19       
  10      34           1.72       
  10      35           1.38       
  10      36           3.04       
  10      37           2.28       
  10      38           4.11       
  10      39           2.81       
  10      40           1.84       
  10      41           1.69       
  10      42           1.00       
  10      43           3.20       
  10      44           0.31       
  10      45           2.88       
  10      46           0.75       
  10      47           3.04       
  10      48           4.13       
  10      49           3.25       
  10      50           0.27       
  11       1           0.94       
  11       2           0.20       
  11       3           0.13       
  11       4           0.26       
  11       5           2.51       
  11       6           0.34       
  11       7           1.63       
  11       8           0.52       
  11       9           0.22       
  11      10           1.40       
  11      11           0.00       
  11      12           0.63       
  11      13           0.68       
  11      14           0.34       
  11      15           0.08       
  11      16           0.02       
  11      17           0.94       
  11      18           0.52       
  11      19           0.63       
  11      20           0.15       
  11      21           0.08       
  11      22           0.02       
  11      23           0.30       
  11      24           0.35       
  11      25           0.29       
  11      26           0.43       
  11      27           0.07       
  11      28           0.81       
  11      29           0.10       
  11      30           0.29       
  11      31           0.46       
  11      32           0.63       
  11      33           1.85       
  11      34           0.23       
  11      35           0.41       
  11      36           0.07       
  11      37           0.25       
  11      38           1.63       
  11      39           0.62       
  11      40           0.46       
  11      41           0.05       
  11      42           0.16       
  11      43           0.15       
  11      44           0.43       
  11      45           0.18       
  11      46           0.51       
  11      47           0.21       
  11      48           0.16       
  11      49           0.24       
  11      50           0.55       
  12       1           0.04       
  12       2           0.71       
  12       3           0.82       
  12       4           0.41       
  12       5           0.47       
  12       6           0.03       
  12       7           3.97       
  12       8           0.72       
  12       9           0.25       
  12      10           2.68       
  12      11           0.64       
  12      12           0.00       
  12      13           1.09       
  12      14           0.24       
  12      15           0.72       
  12      16           0.20       
  12      17           0.04       
  12      18           0.22       
  12      19           0.93       
  12      20           0.19       
  12      21           0.72       
  12      22           0.20       
  12      23           0.12       
  12      24           0.27       
  12      25           1.14       
  12      26           0.31       
  12      27           1.27       
  12      28           0.23       
  12      29           0.09       
  12      30           1.14       
  12      31           0.87       
  12      32           0.15       
  12      33           0.65       
  12      34           0.79       
  12      35           0.63       
  12      36           0.97       
  12      37           0.23       
  12      38           3.97       
  12      39           0.50       
  12      40           0.39       
  12      41           0.41       
  12      42           0.15       
  12      43           0.19       
  12      44           0.31       
  12      45           0.53       
  12      46           0.05       
  12      47           0.79       
  12      48           0.23       
  12      49           0.49       
  12      50           0.57       
  13       1           1.39       
  13       2           0.15       
  13       3           0.32       
  13       4           0.15       
  13       5           1.86       
  13       6           0.34       
  13       7           1.07       
  13       8           0.43       
  13       9           0.17       
  13      10           0.24       
  13      11           0.73       
  13      12           0.49       
  13      13           0.00       
  13      14           0.47       
  13      15           0.24       
  13      16           0.28       
  13      17           1.39       
  13      18           0.01       
  13      19           0.35       
  13      20           0.25       
  13      21           0.24       
  13      22           0.28       
  13      23           0.38       
  13      24           0.20       
  13      25           0.01       
  13      26           0.28       
  13      27           0.22       
  13      28           0.96       
  13      29           0.65       
  13      30           0.01       
  13      31           0.06       
  13      32           0.49       
  13      33           1.78       
  13      34           0.34       
  13      35           0.28       
  13      36           0.16       
  13      37           0.29       
  13      38           1.07       
  13      39           0.06       
  13      40           1.80       
  13      41           0.41       
  13      42           0.10       
  13      43           0.25       
  13      44           0.28       
  13      45           0.04       
  13      46           0.80       
  13      47           0.26       
  13      48           0.15       
  13      49           0.09       
  13      50           0.05       
  14       1           1.40       
  14       2           0.25       
  14       3           0.32       
  14       4           0.02       
  14       5           2.33       
  14       6           0.10       
  14       7           0.92       
  14       8           0.75       
  14       9           0.30       
  14      10           3.40       
  14      11           0.49       
  14      12           0.59       
  14      13           0.18       
  14      14           0.00       
  14      15           0.35       
  14      16           0.28       
  14      17           1.40       
  14      18           0.11       
  14      19           0.60       
  14      20           0.68       
  14      21           0.35       
  14      22           0.28       
  14      23           0.27       
  14      24           0.05       
  14      25           0.27       
  14      26           0.28       
  14      27           0.04       
  14      28           0.51       
  14      29           0.63       
  14      30           0.27       
  14      31           0.15       
  14      32           0.59       
  14      33           0.55       
  14      34           0.25       
  14      35           0.04       
  14      36           0.30       
  14      37           0.40       
  14      38           0.92       
  14      39           0.45       
  14      40           0.83       
  14      41           0.10       
  14      42           0.18       
  14      43           0.68       
  14      44           0.28       
  14      45           0.56       
  14      46           0.66       
  14      47           0.30       
  14      48           0.25       
  14      49           0.02       
  14      50           0.12       
  15       1           1.88       
  15       2           0.12       
  15       3           0.09       
  15       4           0.06       
  15       5           0.77       
  15       6           0.03       
  15       7           0.53       
  15       8           0.13       
  15       9           0.28       
  15      10           0.76       
  15      11           0.10       
  15      12           0.48       
  15      13           0.34       
  15      14           0.29       
  15      15           0.00       
  15      16           0.40       
  15      17           1.88       
  15      18           0.15       
  15      19           0.58       
  15      20           0.57       
  15      21           0.15       
  15      22           0.40       
  15      23           0.37       
  15      24           0.10       
  15      25           0.39       
  15      26           0.37       
  15      27           0.40       
  15      28           0.59       
  15      29           0.07       
  15      30           0.39       
  15      31           0.19       
  15      32           0.48       
  15      33           0.67       
  15      34           0.08       
  15      35           0.29       
  15      36           0.55       
  15      37           0.06       
  15      38           0.53       
  15      39           0.51       
  15      40           0.57       
  15      41           0.34       
  15      42           0.05       
  15      43           0.57       
  15      44           0.37       
  15      45           0.02       
  15      46           0.03       
  15      47           0.35       
  15      48           0.18       
  15      49           0.28       
  15      50           0.07       
  16       1           1.41       
  16       2           0.24       
  16       3           0.35       
  16       4           0.42       
  16       5           1.27       
  16       6           0.37       
  16       7           3.65       
  16       8           0.22       
  16       9           0.49       
  16      10           2.20       
  16      11           0.70       
  16      12           0.22       
  16      13           0.13       
  16      14           0.56       
  16      15           0.55       
  16      16           0.00       
  16      17           1.41       
  16      18           0.47       
  16      19           0.09       
  16      20           0.69       
  16      21           0.55       
  16      22           0.15       
  16      23           0.85       
  16      24           0.12       
  16      25           0.12       
  16      26           0.22       
  16      27           0.13       
  16      28           1.34       
  16      29           0.15       
  16      30           0.12       
  16      31           0.29       
  16      32           0.22       
  16      33           3.13       
  16      34           1.21       
  16      35           0.15       
  16      36           0.78       
  16      37           0.08       
  16      38           3.65       
  16      39           0.09       
  16      40           1.54       
  16      41           0.10       
  16      42           0.07       
  16      43           0.69       
  16      44           0.22       
  16      45           0.76       
  16      46           0.31       
  16      47           0.37       
  16      48           0.47       
  16      49           0.63       
  16      50           0.43       
  17       1           0.15       
  17       2           0.93       
  17       3           0.45       
  17       4           1.93       
