Alis

CUSTOMER
store1  store2  tempo_deslocamento
   1       1           0.00       
   1       2           0.22       
   1       3           0.89       
   1       4           0.68       
   1       5           0.42       
   1       6           1.42       
   1       7           0.25       
   1       8           0.50       
   1       9           0.32       
   1      10           0.17       
   1      11           0.26       
   1      12           0.65       
   1      13           0.09       
   1      14           0.52       
   1      15           0.73       
   1      16           0.37       
   1      17           0.30       
   1      18           0.48       
   1      19           0.31       
   1      20           0.20       
   1      21           0.20       
   1      22           0.89       
   1      23           0.30       
   1      24           0.47       
   1      25           0.23       
   1      26           0.47       
   1      27           0.50       
   1      28           0.42       
   1      29           0.28       
   1      30           1.49       
   1      31           0.20       
   1      32           0.13       
   1      33           0.07       
   1      34           1.47       
   1      35           0.34       
   1      36           0.30       
   1      37           0.74       
   1      38           0.01       
   1      39           0.12       
   1      40           0.85       
   1      41           0.42       
   1      42           0.20       
   1      43           0.41       
   1      44           0.13       
   1      45           0.20       
   1      46           0.09       
   1      47           0.17       
   1      48           0.52       
   1      49           1.47       
   1      50           0.42       
   2       1           0.23       
   2       2           0.00       
   2       3           0.35       
   2       4           0.79       
   2       5           0.22       
   2       6           0.11       
   2       7           0.12       
   2       8           0.04       
   2       9           0.93       
   2      10           0.61       
   2      11           0.15       
   2      12           0.54       
   2      13           0.43       
   2      14           0.13       
   2      15           0.23       
   2      16           0.31       
   2      17           0.25       
   2      18           0.23       
   2      19           0.23       
   2      20           0.57       
   2      21           0.05       
   2      22           0.35       
   2      23           0.25       
   2      24           0.31       
   2      25           0.42       
   2      26           0.49       
   2      27           0.04       
   2      28           0.19       
   2      29           0.03       
   2      30           1.29       
   2      31           0.05       
   2      32           0.38       
   2      33           0.97       
   2      34           1.31       
   2      35           1.92       
   2      36           0.25       
   2      37           0.21       
   2      38           0.52       
   2      39           0.08       
   2      40           0.45       
   2      41           0.20       
   2      42           0.05       
   2      43           0.05       
   2      44           0.38       
   2      45           0.57       
   2      46           0.43       
   2      47           0.61       
   2      48           0.89       
   2      49           1.31       
   2      50           0.19       
   3       1           0.74       
   3       2           0.34       
   3       3           0.00       
   3       4           1.50       
   3       5           0.19       
   3       6           0.77       
   3       7           0.85       
   3       8           0.25       
   3       9           0.60       
   3      10           0.41       
   3      11           0.11       
   3      12           0.16       
   3      13           0.50       
   3      14           0.11       
   3      15           0.04       
   3      16           0.22       
   3      17           0.21       
   3      18           0.04       
   3      19           0.23       
   3      20           0.18       
   3      21           0.01       
   3      22           0.15       
   3      23           0.21       
   3      24           0.13       
   3      25           0.45       
   3      26           0.40       
   3      27           0.25       
   3      28           0.34       
   3      29           0.07       
   3      30           0.65       
   3      31           0.01       
   3      32           0.08       
   3      33           0.15       
   3      34           2.77       
   3      35           0.49       
   3      36           0.21       
   3      37           0.01       
   3      38           0.25       
   3      39           0.02       
   3      40           0.23       
   3      41           0.35       
   3      42           0.01       
   3      43           0.01       
   3      44           0.08       
   3      45           0.18       
   3      46           0.50       
   3      47           0.41       
   3      48           0.38       
   3      49           2.77       
   3      50           0.34       
   4       1           2.12       
   4       2           1.53       
   4       3           2.33       
   4       4           0.00       
   4       5           1.33       
   4       6           0.36       
   4       7           0.26       
   4       8           2.76       
   4       9           1.23       
   4      10           1.69       
   4      11           2.71       
   4      12           1.21       
   4      13           1.57       
   4      14           2.35       
   4      15           0.76       
   4      16           1.98       
   4      17           1.97       
   4      18           1.62       
   4      19           0.79       
   4      20           0.15       
   4      21           1.65       
   4      22           2.33       
   4      23           1.97       
   4      24           1.41       
   4      25           1.53       
   4      26           1.05       
   4      27           2.76       
   4      28           0.43       
   4      29           0.67       
   4      30           0.40       
   4      31           1.65       
   4      32           2.09       
   4      33           3.05       
   4      34           0.64       
   4      35           3.17       
   4      36           1.97       
   4      37           1.35       
   4      38           1.44       
   4      39           1.44       
   4      40           0.52       
   4      41           0.52       
   4      42           1.65       
   4      43           2.44       
   4      44           2.09       
   4      45           0.15       
   4      46           1.57       
   4      47           1.69       
   4      48           0.56       
   4      49           0.64       
   4      50           0.43       
   5       1           0.39       
   5       2           0.31       
   5       3           0.11       
   5       4           1.83       
   5       5           0.00       
   5       6           0.83       
   5       7           0.05       
   5       8           0.28       
   5       9           1.31       
   5      10           0.26       
   5      11           0.65       
   5      12           0.75       
   5      13           0.16       
   5      14           0.01       
   5      15           0.09       
   5      16           0.44       
   5      17           0.17       
   5      18           0.19       
   5      19           0.07       
   5      20           0.12       
   5      21           0.03       
   5      22           0.11       
   5      23           0.17       
   5      24           0.09       
   5      25           0.15       
   5      26           0.20       
   5      27           0.28       
   5      28           0.11       
   5      29           0.06       
   5      30           1.77       
   5      31           0.03       
   5      32           0.16       
   5      33           0.14       
   5      34           0.10       
   5      35           1.70       
   5      36           0.17       
   5      37           0.21       
   5      38           0.20       
   5      39           0.47       
   5      40           0.03       
   5      41           0.29       
   5      42           0.03       
   5      43           0.11       
   5      44           0.16       
   5      45           0.12       
   5      46           0.16       
   5      47           0.26       
   5      48           0.41       
   5      49           0.10       
   5      50           0.11       
   6       1           1.10       
   6       2           0.71       
   6       3           0.56       
   6       4           0.31       
   6       5           0.16       
   6       6           0.00       
   6       7           0.11       
   6       8           0.63       
   6       9           0.42       
   6      10           0.57       
   6      11           0.66       
   6      12           0.40       
   6      13           0.01       
   6      14           0.22       
   6      15           0.17       
   6      16           0.31       
   6      17           0.06       
   6      18           0.78       
   6      19           0.15       
   6      20           0.09       
   6      21           0.07       
   6      22           0.56       
   6      23           0.06       
   6      24           0.03       
   6      25           0.66       
   6      26           0.04       
   6      27           0.63       
   6      28           1.12       
   6      29           0.54       
   6      30           0.52       
   6      31           0.07       
   6      32           0.22       
   6      33           0.25       
   6      34           1.40       
   6      35           0.56       
   6      36           0.06       
   6      37           0.93       
   6      38           0.70       
   6      39           0.04       
   6      40           0.17       
   6      41           0.53       
   6      42           0.07       
   6      43           0.36       
   6      44           0.22       
   6      45           0.09       
   6      46           0.01       
   6      47           0.57       
   6      48           0.36       
   6      49           1.40       
   6      50           1.12       
   7       1           0.50       
   7       2           0.49       
   7       3           0.21       
   7       4           0.09       
   7       5           0.84       
   7       6           0.20       
   7       7           0.00       
   7       8           0.67       
   7       9           0.16       
   7      10           0.82       
   7      11           0.20       
   7      12           0.53       
   7      13           1.60       
   7      14           0.90       
   7      15           0.71       
   7      16           0.30       
   7      17           0.41       
   7      18           0.56       
   7      19           0.06       
   7      20           0.67       
   7      21           1.02       
   7      22           0.21       
   7      23           0.41       
   7      24           0.92       
   7      25           0.31       
   7      26           0.47       
   7      27           0.67       
   7      28           0.29       
   7      29           0.77       
   7      30           2.59       
   7      31           1.02       
   7      32           0.80       
   7      33           0.20       
   7      34           2.04       
   7      35           0.47       
   7      36           0.41       
   7      37           0.43       
   7      38           0.43       
   7      39           0.38       
   7      40           0.56       
   7      41           1.10       
   7      42           1.02       
   7      43           1.06       
   7      44           0.80       
   7      45           0.67       
   7      46           1.60       
   7      47           0.82       
   7      48           0.34       
   7      49           2.04       
   7      50           0.29       
   8       1           0.89       
   8       2           0.18       
   8       3           0.16       
   8       4           0.05       
   8       5           0.15       
   8       6           0.51       
   8       7           0.02       
   8       8           0.00       
   8       9           0.31       
   8      10           0.45       
   8      11           0.48       
   8      12           0.16       
   8      13           0.43       
   8      14           0.41       
   8      15           0.06       
   8      16           0.33       
   8      17           0.63       
   8      18           0.10       
   8      19           0.05       
   8      20           0.22       
   8      21           0.07       
   8      22           0.16       
   8      23           0.63       
   8      24           0.28       
   8      25           0.46       
   8      26           0.18       
   8      27           0.15       
   8      28           0.25       
   8      29           0.29       
   8      30           0.30       
   8      31           0.07       
   8      32           0.05       
   8      33           0.49       
   8      34           0.19       
   8      35           1.14       
   8      36           0.63       
   8      37           0.03       
   8      38           0.74       
   8      39           0.18       
   8      40           0.28       
   8      41           0.33       
   8      42           0.07       
   8      43           0.02       
   8      44           0.05       
   8      45           0.22       
   8      46           0.43       
   8      47           0.45       
   8      48           0.39       
   8      49           0.19       
   8      50           0.25       
   9       1           0.22       
   9       2           0.55       
   9       3           0.33       
   9       4           1.72       
   9       5           0.51       
   9       6           0.05       
   9       7           0.11       
   9       8           0.37       
   9       9           0.00       
   9      10           0.39       
   9      11           0.52       
   9      12           0.39       
   9      13           0.66       
   9      14           0.51       
   9      15           0.79       
   9      16           0.71       
   9      17           0.34       
   9      18           0.63       
   9      19           0.01       
   9      20           0.54       
   9      21           0.92       
   9      22           0.33       
   9      23           0.34       
   9      24           0.79       
   9      25           0.10       
   9      26           0.30       
