Alis

CUSTOMERS
store1  store2  tempo_deslocamento
   1       1           0.00       
   1       2           0.31       
   1       3           0.39       
   1       4           0.17       
   1       5           0.68       
   1       6           0.22       
   1       7           0.36       
   1       8           0.42       
   1       9           0.37       
   1      10           0.01       
   1      11           0.01       
   1      12           0.01       
   1      13           0.39       
   1      14           0.11       
   1      15           0.65       
   1      16           0.10       
   1      17           0.47       
   1      18           1.08       
   1      19           0.32       
   1      20           0.97       
   1      21           0.41       
   1      22           0.04       
   1      23           0.21       
   1      24           0.97       
   1      25           0.20       
   1      26           0.07       
   1      27           0.22       
   1      28           0.30       
   1      29           0.68       
   1      30           0.17       
   1      31           0.57       
   1      32           0.10       
   1      33           0.07       
   1      34           0.07       
   1      35           0.55       
   1      36           0.01       
   1      37           0.36       
   1      38           0.30       
   1      39           0.23       
   1      40           1.82       
   1      41           0.10       
   1      42           0.46       
   1      43           0.15       
   1      44           1.13       
   1      45           0.36       
   1      46           0.65       
   1      47           0.38       
   1      48           0.08       
   1      49           0.21       
   1      50           0.28       
   1      51           0.20       
   1      52           1.82       
   1      53           0.28       
   1      54           0.08       
   1      55           1.82       
   1      56           0.07       
   1      57           0.31       
   1      58           0.28       
   1      59           0.34       
   1      60           0.19       
   1      61           0.55       
   1      62           0.42       
   1      63           1.11       
   1      64           0.13       
   1      65           0.20       
   1      66           0.01       
   1      67           0.32       
   1      68           0.23       
   1      69           1.82       
   1      70           0.08       
   1      71           0.26       
   1      72           0.44       
   1      73           0.32       
   1      74           0.19       
   1      75           1.82       
   1      76           0.20       
   1      77           0.31       
   1      78           1.11       
   1      79           0.94       
   1      80           0.02       
   1      81           0.10       
   1      82           0.30       
   1      83           0.58       
   1      84           0.20       
   1      85           0.21       
   1      86           0.36       
   1      87           1.13       
   1      88           0.07       
   1      89           1.11       
   1      90           0.23       
   1      91           0.36       
   1      92           0.46       
   1      93           0.36       
   1      94           0.34       
   1      95           0.39       
   1      96           0.02       
   1      97           0.21       
   1      98           1.11       
   1      99           0.20       
   1     100           0.36       
