TIME_WINDOWS
loja    horario_inicio    horario_fim
   1        10.00        14.00
   2         8.00        13.00
   3         9.00        12.00
   4        13.00        17.00
   5         8.00        17.00
   6        12.00        16.00
   7        12.00        16.00
   8         8.50        12.50
   9         7.50        11.50
  10         8.00        14.00
  11        13.00        18.00
  12        11.00        15.00
  13        10.00        16.00
  14         8.00        14.00
  15         8.00        14.00
  16        12.00        17.00
  17        10.00        16.00
  18        13.00        17.00
  19        11.00        15.00
  20        10.00        16.00
  21         7.00        11.00
  22         8.00        13.00
  23         9.00        15.00
  24        10.00        16.00
  25         9.00        17.00
  26        10.00        14.00
  27         7.00        11.00
  28        13.00        18.00
  29        13.00        17.00
  30        10.00        16.00
  31         7.50        11.50
  32         9.00        17.00
  33         9.00        13.00
  34        14.00        18.00
  35         7.50        11.50
  36         8.00        12.00
  37         9.00        12.00
  38        11.00        15.00
  39         9.00        14.00
  40         9.00        13.00
  41        10.00        14.00
  42         9.00        12.00
  43         9.00        12.00
  44         7.00        11.00
  45         8.00        14.00
  46         9.00        12.00
  47         9.00        12.00
  48        12.00        16.00
  49        10.00        16.00
  50         9.00        17.00
  51         9.00        13.00
  52        14.00        18.00
  53         9.00        13.00
  54         9.00        17.00
  55         9.00        18.00
  56         7.00        11.00
  57         7.50        11.50
  58        10.00        16.00
  59         7.00        11.00
  60         9.00        14.00
  61        12.00        16.00
  62         9.00        17.00
  63         8.00        17.00
  64        11.00        15.00
  65         9.00        14.00
  66         9.00        14.00
  67        13.00        18.00
  68        12.00        17.00
  69        13.00        17.00
  70         8.00        17.00
  71         9.00        18.00
  72        13.00        17.00
  73         7.50        11.50
  74         9.00        15.00
  75        10.00        14.00
  76        12.00        16.00
  77         9.00        13.00
  78        13.00        17.00
  79         9.00        12.00
  80         8.00        17.00
  81         9.00        12.00
  82         8.00        12.00
  83         7.00        11.00
  84        12.00        17.00
  85         9.00        12.00
  86         8.00        12.00
  87        13.00        17.00
  88         9.00        18.00
  89         8.00        17.00
  90         9.00        12.00
  91         8.50        12.50
  92         9.00        14.00
  93         9.00        15.00
  94        10.00        14.00
  95         8.50        12.50
  96         8.00        17.00
  97         9.00        17.00
  98         7.00        11.00
  99        12.00        16.00
 100        12.00        17.00
 101        14.00        18.00
 102         9.00        17.00
 103        14.00        18.00
 104        13.00        18.00
 105        12.00        16.00
 106         8.00        14.00
 107        10.00        14.00
 108         8.50        12.50
 109        14.00        18.00
 110         7.00        11.00
 111         8.00        17.00
 112         8.50        12.50
 113        13.00        17.00
 114        13.00        17.00
 115        12.00        17.00
 116        13.00        18.00
 117        12.00        17.00
 118         8.00        13.00
 119        10.00        14.00
 120         9.00        12.00
 121         8.00        13.00
 122        13.00        18.00
 123        11.00        15.00
 124         8.00        12.00
 125        12.00        17.00
 126        13.00        17.00
 127        12.00        16.00
 128         9.00        12.00
 129         8.00        14.00
 130        10.00        16.00
 131        13.00        18.00
 132         9.00        17.00
 133        12.00        16.00
 134         9.00        15.00
 135         9.00        14.00
 136         7.00        11.00
 137         8.00        14.00
 138        13.00        18.00
 139         9.00        14.00
 140         9.00        14.00
 141        10.00        14.00
 142         7.50        11.50
 143         8.50        12.50
 144         9.00        13.00
 145         8.50        12.50
 146         7.00        11.00
 147         9.00        15.00
 148        14.00        18.00
 149         8.00        13.00
 150         8.00        14.00
 151         7.00        11.00
 152         9.00        12.00
 153         9.00        14.00
 154         8.00        17.00
 155         8.00        12.00
 156         9.00        18.00
 157         9.00        12.00
 158        12.00        16.00
 159         9.00        12.00
 160        12.00        17.00
 161        13.00        17.00
 162         9.00        12.00
 163         8.50        12.50
 164        12.00        16.00
 165        14.00        18.00
 166        14.00        18.00
 167         9.00        13.00
 168         8.00        17.00
 169         7.00        11.00
 170         8.00        17.00
 171         8.00        14.00
 172        13.00        17.00
 173         8.00        13.00
 174         7.00        11.00
 175         9.00        18.00
 176        12.00        17.00
 177         8.50        12.50
 178         8.00        12.00
 179         9.00        18.00
 180         9.00        18.00
 181         9.00        13.00
 182         8.00        12.00
 183        11.00        15.00
 184        13.00        17.00
 185        13.00        18.00
 186         8.00        14.00
 187         9.00        17.00
 188        13.00        17.00
 189        10.00        14.00
 190         8.00        14.00
 191         9.00        17.00
 192         9.00        12.00
 193         8.00        12.00
 194         8.00        13.00
 195         7.00        11.00
 196         7.50        11.50
 197         8.00        12.00
 198         9.00        17.00
 199         8.00        17.00
 200        12.00        16.00
